concelho.y,ano,Pop,H,M
Santiago do Cacém,2012,29833,14604,15229
Sines,2012,14076,6934,7142
Alter do Chão,2012,3501,1651,1850
Arronches,2012,3124,1500,1624
Avis,2012,4529,2155,2374
Campo Maior,2012,8389,4066,4323
Castelo de Vide,2012,3297,1573,1724
Crato,2012,3593,1675,1918
Elvas,2012,22566,10813,11753
Fronteira,2012,3295,1556,1739
Gavião,2012,3977,1881,2096
Marvão,2012,3428,1678,1750
Monforte,2012,3270,1514,1756
Mora,2012,4790,2312,2478
Nisa,2012,7163,3395,3768
Ponte de Sor,2012,16366,7900,8466
Portalegre,2012,24230,11658,12572
Alandroal,2012,5687,2757,2930
Arraiolos,2012,7341,3560,3781
Borba,2012,7245,3567,3678
Estremoz,2012,13944,6632,7312
Évora,2012,55624,26300,29324
Montemor-o-Novo,2012,17073,8255,8818
Mourão,2012,2622,1295,1327
Portel,2012,6326,3118,3208
Redondo,2012,6922,3362,3560
Reguengos de Monsaraz,2012,10721,5241,5480
Sousel,2012,4935,2325,2610
Vendas Novas,2012,11827,5648,6179
Viana do Alentejo,2012,5623,2727,2896
Vila Viçosa,2012,8235,4015,4220
Aljustrel,2012,9031,4457,4574
Almodôvar,2012,7311,3587,3724
Alvito,2012,2533,1221,1312
Barrancos,2012,1782,862,920
Beja,2012,35319,17184,18135
Castro Verde,2012,7290,3589,3701
Cuba,2012,4887,2382,2505
Ferreira do Alentejo,2012,8218,3987,4231
Mértola,2012,6978,3428,3550
Moura,2012,14809,7222,7587
Ourique,2012,5221,2554,2667
Serpa,2012,15467,7579,7888
Vidigueira,2012,5844,2843,3001
Almeirim,2012,23479,11094,12385
Alpiarça,2012,7593,3661,3932
Azambuja,2012,22306,11538,10768
Benavente,2012,29683,14437,15246
Cartaxo,2012,24504,11785,12719
Chamusca,2012,9967,4789,5178
Coruche,2012,19503,9290,10213
Golegã,2012,5389,2498,2891
Rio Maior,2012,21110,10196,10914
Salvaterra de Magos,2012,22196,10614,11582
Santarém,2012,61222,28994,32228
Albufeira,2012,40190,19588,20602
Alcoutim,2012,2725,1354,1371
Aljezur,2012,5724,2809,2915
Castro Marim,2012,6588,3256,3332
Faro,2012,62281,29710,32571
Lagoa (Algarve),2012,22783,11121,11662
Lagos,2012,30776,14808,15968
Loulé,2012,69824,33820,36004
Monchique,2012,5755,2857,2898
Olhão,2012,45216,21813,23403
Portimão,2012,55209,26444,28765
São Brás de Alportel,2012,10552,5157,5395
Silves,2012,36724,18188,18536
Tavira,2012,25753,12406,13347
Vila do Bispo,2012,5223,2577,2646
Vila Real de Santo António,2012,19067,9038,10029
Arcos de Valdevez,2011,22709,10359,12350
Caminha,2011,16645,7716,8929
Melgaço,2011,9137,4053,5084
Monção,2011,19186,8713,10473
Paredes de Coura,2011,9166,4368,4798
Ponte da Barca,2011,12018,5572,6446
Ponte de Lima,2011,43482,20486,22996
Valença,2011,14045,6565,7480
Viana do Castelo,2011,88522,41774,46748
Vila Nova de Cerveira,2011,9239,4414,4825
Amares,2011,18830,9110,9720
Barcelos,2011,120515,58281,62234
Braga,2011,182176,86986,95190
Esposende,2011,34371,16345,18026
Terras de Bouro,2011,7141,3422,3719
Vila Verde,2011,47995,23029,24966
Fafe,2011,50576,23905,26671
Guimarães,2011,158048,76666,81382
Póvoa de Lanhoso,2011,21947,10441,11506
Santo Tirso,2011,71451,34231,37220
Trofa,2011,39010,18812,20198
Vieira do Minho,2011,12900,6202,6698
Vila Nova de Famalicão,2011,134206,65004,69202
Vizela,2011,23860,11689,12171
Espinho,2011,31439,14901,16538
Gondomar,2011,168363,81037,87326
Maia,2011,135937,65100,70837
Matosinhos,2011,175869,83564,92305
Porto,2011,233061,105866,127195
Póvoa de Varzim,2011,63504,30020,33484
Valongo,2011,94577,45289,49288
Vila do Conde,2011,79864,38592,41272
Vila Nova de Gaia,2011,303430,144823,158607
Amarante,2011,56099,26875,29224
Baião,2011,20394,9760,10634
Cabeceiras de Basto,2011,16659,8093,8566
Castelo de Paiva,2011,16642,8129,8513
Celorico de Basto,2011,20087,9739,10348
Cinfães,2011,20254,9836,10418
Felgueiras,2011,58126,28085,30041
Lousada,2011,47547,23135,24412
Marco de Canaveses,2011,53521,26073,27448
Mondim de Basto,2011,7465,3588,3877
Paços de Ferreira,2011,56769,28307,28462
Paredes,2011,87159,42681,44478
Penafiel,2011,72227,35146,37081
Resende,2011,11280,5489,5791
Ribeira de Pena,2011,6517,3198,3319
